report_date,report_month,user_id,current_cc_id,current_cc_name,current_cc_group,current_assigned_time,first_cc_id,first_cc_name,first_assigned_time,assign_count,is_reassigned,lead_source_raw,has_trial_booked,trial_count,first_trial_time,latest_trial_time,latest_trial_status,is_cancelled,is_absent,is_attended,outbound_call_count,connected_call_count,effective_connected_call_count,short_call_count_lt20s,total_connected_duration_sec,distinct_call_days,distinct_call_time_slots,first_call_time,last_call_time,last_call_duration_sec,post_class_call_within_6h,post_class_call_after_6h,is_ordered,order_id,order_time,processed_time,paid_amount,package_name,payment_method,closed_sales_name,closed_sales_group,lead_quality_category,lead_quality_reason,lead_quality_confidence,final_status,data_join_status,missing_data_flags
2026-04-29,2026-04,61990182,4123057,,,2026-04-25T19:02:19+08:00,4123057,,2026-04-25T19:02:19+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/25 19:18,2026/4/25 19:18,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,61993501,4123057,,,2026-04-25T19:02:54+08:00,4123057,,2026-04-25T19:02:54+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,1,1,0,116,1,1,2026/4/25 19:14,2026/4/25 19:14,116,0,0,0,,,,,,,,,valid_lead,has_order_attendance_or_effective_call,medium,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62045109,4123057,,,2026-04-25T19:00:26+08:00,4123057,,2026-04-25T19:00:26+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/25 19:09,2026/4/25 19:09,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62119512,4123060,,,2026-04-23T22:15:26+08:00,4123060,,2026-04-23T22:15:26+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/23 22:43,2026/4/23 22:43,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62125634,4123060,,,2026-04-23T22:14:18+08:00,4123060,,2026-04-23T22:14:18+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/23 22:43,2026/4/23 22:43,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62173165,4123057,,,2026-04-25T18:59:57+08:00,4123057,,2026-04-25T18:59:57+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,1,1,0,32,1,1,2026/4/25 19:07,2026/4/25 19:07,32,0,0,0,,,,,,,,,valid_lead,has_order_attendance_or_effective_call,medium,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62183072,4121807,,,2026-04-22T20:15:31+08:00,4121807,,2026-04-22T20:15:31+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/22 22:17,2026/4/22 22:17,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62184203,4121807,,,2026-04-22T20:15:06+08:00,4121807,,2026-04-22T20:15:06+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/22 22:21,2026/4/22 22:21,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62236440,4123061,,,2026-04-22T20:26:46+08:00,4123061,,2026-04-22T20:26:46+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/22 22:34,2026/4/22 22:34,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
2026-04-29,2026-04,62241491,4121807,,,2026-04-22T20:14:33+08:00,4121807,,2026-04-22T20:14:33+08:00,1,0,CC人工改派,0,0,,,,0,0,0,1,0,0,0,0,1,1,2026/4/22 21:52,2026/4/22 21:52,0,0,0,0,,,,,,,,,unknown,insufficient_contact_attempts,low,no_booking,joined_by_user_id_only,missing_trial|missing_order
